"date","aqs","pm25","o3"
2024-01-11 01:00:00,"Pinheiros",4,30
2024-01-11 02:00:00,"Pinheiros",8,19
2024-01-11 03:00:00,"Pinheiros",6,21
2024-01-11 04:00:00,"Pinheiros",10,7
2024-01-11 05:00:00,"Pinheiros",7,2
2024-01-11 06:00:00,"Pinheiros",14,NA
2024-01-11 07:00:00,"Pinheiros",7,7
2024-01-11 08:00:00,"Pinheiros",5,6
2024-01-11 09:00:00,"Pinheiros",10,14
2024-01-11 10:00:00,"Pinheiros",4,25
2024-01-11 11:00:00,"Pinheiros",2,45
2024-01-11 12:00:00,"Pinheiros",6,64
2024-01-11 13:00:00,"Pinheiros",4,70
2024-01-11 14:00:00,"Pinheiros",2,67
2024-01-11 15:00:00,"Pinheiros",2,64
2024-01-11 16:00:00,"Pinheiros",0,63
2024-01-11 17:00:00,"Pinheiros",13,46
2024-01-11 18:00:00,"Pinheiros",19,36
2024-01-11 19:00:00,"Pinheiros",9,26
2024-01-11 20:00:00,"Pinheiros",8,14
2024-01-11 21:00:00,"Pinheiros",6,19
2024-01-11 22:00:00,"Pinheiros",5,23
2024-01-11 23:00:00,"Pinheiros",7,32
2024-01-12 00:00:00,"Pinheiros",6,10
2024-01-12 01:00:00,"Pinheiros",14,NA
2024-01-12 02:00:00,"Pinheiros",13,10
2024-01-12 03:00:00,"Pinheiros",5,14
2024-01-12 04:00:00,"Pinheiros",9,NA
2024-01-12 05:00:00,"Pinheiros",9,14
2024-01-12 06:00:00,"Pinheiros",6,13
2024-01-12 07:00:00,"Pinheiros",8,8
2024-01-12 08:00:00,"Pinheiros",9,7
2024-01-12 09:00:00,"Pinheiros",2,11
2024-01-12 10:00:00,"Pinheiros",9,15
2024-01-12 11:00:00,"Pinheiros",7,24
2024-01-12 12:00:00,"Pinheiros",7,38
2024-01-12 13:00:00,"Pinheiros",5,61
2024-01-12 14:00:00,"Pinheiros",8,70
2024-01-12 15:00:00,"Pinheiros",4,50
2024-01-12 16:00:00,"Pinheiros",34,25
2024-01-12 17:00:00,"Pinheiros",22,18
2024-01-12 18:00:00,"Pinheiros",3,16
2024-01-12 19:00:00,"Pinheiros",12,23
2024-01-12 20:00:00,"Pinheiros",2,14
2024-01-12 21:00:00,"Pinheiros",1,8
2024-01-12 22:00:00,"Pinheiros",2,4
2024-01-12 23:00:00,"Pinheiros",9,4
2024-01-13 00:00:00,"Pinheiros",1,6
2024-01-13 01:00:00,"Pinheiros",0,9
2024-01-13 02:00:00,"Pinheiros",3,10
2024-01-13 03:00:00,"Pinheiros",7,18
2024-01-13 04:00:00,"Pinheiros",1,27
2024-01-13 05:00:00,"Pinheiros",2,27
2024-01-13 06:00:00,"Pinheiros",0,24
2024-01-13 07:00:00,"Pinheiros",1,17
2024-01-13 08:00:00,"Pinheiros",4,9
2024-01-13 09:00:00,"Pinheiros",3,9
2024-01-13 10:00:00,"Pinheiros",0,16
2024-01-13 11:00:00,"Pinheiros",1,19
2024-01-13 12:00:00,"Pinheiros",0,21
2024-01-13 13:00:00,"Pinheiros",3,26
2024-01-13 14:00:00,"Pinheiros",5,23
2024-01-13 15:00:00,"Pinheiros",6,20
2024-01-13 16:00:00,"Pinheiros",10,19
2024-01-13 17:00:00,"Pinheiros",4,21
2024-01-13 18:00:00,"Pinheiros",8,15
2024-01-13 19:00:00,"Pinheiros",3,13
2024-01-13 20:00:00,"Pinheiros",4,10
2024-01-13 21:00:00,"Pinheiros",4,12
2024-01-13 22:00:00,"Pinheiros",6,13
2024-01-13 23:00:00,"Pinheiros",8,9
2024-01-14 00:00:00,"Pinheiros",6,11
2024-01-14 01:00:00,"Pinheiros",16,10
2024-01-14 02:00:00,"Pinheiros",14,20
2024-01-14 03:00:00,"Pinheiros",9,18
2024-01-14 04:00:00,"Pinheiros",7,15
2024-01-14 05:00:00,"Pinheiros",6,12
2024-01-14 06:00:00,"Pinheiros",2,NA
2024-01-14 07:00:00,"Pinheiros",3,9
2024-01-14 08:00:00,"Pinheiros",11,13
2024-01-14 09:00:00,"Pinheiros",5,33
2024-01-14 10:00:00,"Pinheiros",1,27
2024-01-14 11:00:00,"Pinheiros",9,44
2024-01-14 12:00:00,"Pinheiros",4,61
2024-01-14 13:00:00,"Pinheiros",4,62
2024-01-14 14:00:00,"Pinheiros",1,57
2024-01-14 15:00:00,"Pinheiros",5,61
2024-01-14 16:00:00,"Pinheiros",7,66
2024-01-14 17:00:00,"Pinheiros",4,83
2024-01-14 18:00:00,"Pinheiros",26,89
2024-01-14 19:00:00,"Pinheiros",22,41
2024-01-14 20:00:00,"Pinheiros",22,16
2024-01-14 21:00:00,"Pinheiros",NA,7
2024-01-14 22:00:00,"Pinheiros",20,2
2024-01-14 23:00:00,"Pinheiros",13,NA
2024-01-15 00:00:00,"Pinheiros",19,1
2024-01-15 01:00:00,"Pinheiros",24,NA
2024-01-15 02:00:00,"Pinheiros",21,NA
2024-01-15 03:00:00,"Pinheiros",21,NA
2024-01-15 04:00:00,"Pinheiros",19,NA
2024-01-15 05:00:00,"Pinheiros",19,1
2024-01-15 06:00:00,"Pinheiros",12,NA
2024-01-15 07:00:00,"Pinheiros",26,8
2024-01-15 08:00:00,"Pinheiros",8,12
2024-01-15 09:00:00,"Pinheiros",4,NA
2024-01-15 10:00:00,"Pinheiros",5,NA
2024-01-15 11:00:00,"Pinheiros",2,47
2024-01-15 12:00:00,"Pinheiros",0,55
2024-01-15 13:00:00,"Pinheiros",0,56
2024-01-15 14:00:00,"Pinheiros",1,50
2024-01-15 15:00:00,"Pinheiros",17,63
2024-01-15 16:00:00,"Pinheiros",13,67
2024-01-15 17:00:00,"Pinheiros",3,77
2024-01-15 18:00:00,"Pinheiros",9,55
2024-01-15 19:00:00,"Pinheiros",7,58
2024-01-15 20:00:00,"Pinheiros",7,41
2024-01-15 21:00:00,"Pinheiros",10,29
2024-01-15 22:00:00,"Pinheiros",14,21
2024-01-15 23:00:00,"Pinheiros",15,8
2024-01-16 00:00:00,"Pinheiros",11,6
2024-01-16 01:00:00,"Pinheiros",9,21
2024-01-16 02:00:00,"Pinheiros",4,29
2024-01-16 03:00:00,"Pinheiros",10,25
2024-01-16 04:00:00,"Pinheiros",10,37
2024-01-16 05:00:00,"Pinheiros",7,19
2024-01-16 06:00:00,"Pinheiros",8,8
2024-01-16 07:00:00,"Pinheiros",6,8
2024-01-16 08:00:00,"Pinheiros",12,19
